HapGow;HapNig;HapArt;ThrHaw;ThrPar;ThrQui;FraSc1;FraSc2;HapSp.;MicAbd;GigEle;DenIno;NeoSam;FraOcc;MegSjo;ThrPal;ThrTab;ThrBou;FraIns;HerPat;SciAur;ThrCan;ChaOrc;FraVes;CerBru;LioSp.;NesSp.;FraInt;ThrFlo;AroMex;ThrReu;HelHae;ChiSp.;MS031.;ThrAus;MS032.;ElaSp.;ThrSp2;GynUze;SciSp2;ScoRha;date;season;transect;site;plant;elevation;latitude;longitude;grid;meanTemperature;rainfall;sug100;veg100;for100;plfor100;gra100;rock100;sava100;orch100;urb100;sug300;veg300;for300;plfor300;gra300;rock300;sava300;orch300;urb300;sug600;veg600;for600;plfor600;gra600;rock600;sava600;orch600;urb600;sug1000;veg1000;for1000;plfor1000;gra1000;rock1000;sava1000;orch1000;urb1000;sug3000;veg3000;for3000;plfor3000;gra3000;rock3000;sava3000;orch3000;urb3000;fragm100;fragm300;fragm600;fragm1000;fragm3000
2;0;0;1;2;1;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site1;LanCam;79,177619934082;7638375,50086171;345539,421464143;CA;23,8392524719238;1170,58117675781;0;0;0;0;0;0;0;0;1;0,0200886461476422;0;0,0835841908474444;0;0;0;0,0226744535668932;0,000516454012600063;0,87313625542542;0,304224690276164;0,0038925825030639;0,14538718541157;0;0;0,0136689427071002;0,0230180350577356;0,0182400737331871;0,49156849031118;0,403996105085665;0,0160374724489257;0,124618667236805;0;0,00266953683652083;0,019404853636941;0,0387436411340402;0,0371434461891291;0,357386277431973;0,51394378624355;0,0234416040040616;0,0855835114512497;0;0,0147286491571969;0,0109054331654183;0,033818355574406;0,0525450967822121;0,265033563621905;0,020003762058713;0,0485862119203394;0,0933530042229447;0,158074673893728;0,209161822858692
0;0;0;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site1;Other;79,177619934082;7638375,50086171;345539,421464143;CA;23,8392524719238;1170,58117675781;0;0;0;0;0;0;0;0;1;0,0200886461476422;0;0,0835841908474444;0;0;0;0,0226744535668932;0,000516454012600063;0,87313625542542;0,304224690276164;0,0038925825030639;0,14538718541157;0;0;0,0136689427071002;0,0230180350577356;0,0182400737331871;0,49156849031118;0,403996105085665;0,0160374724489257;0,124618667236805;0;0,00266953683652083;0,019404853636941;0,0387436411340402;0,0371434461891291;0,357386277431973;0,51394378624355;0,0234416040040616;0,0855835114512497;0;0,0147286491571969;0,0109054331654183;0,033818355574406;0,0525450967822121;0,265033563621905;0,020003762058713;0,0485862119203394;0,0933530042229447;0,158074673893728;0,209161822858692
0;4;5;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site1;Other;79,177619934082;7638375,50086171;345539,421464143;CA;23,8392524719238;1170,58117675781;0;0;0;0;0;0;0;0;1;0,0200886461476422;0;0,0835841908474444;0;0;0;0,0226744535668932;0,000516454012600063;0,87313625542542;0,304224690276164;0,0038925825030639;0,14538718541157;0;0;0,0136689427071002;0,0230180350577356;0,0182400737331871;0,49156849031118;0,403996105085665;0,0160374724489257;0,124618667236805;0;0,00266953683652083;0,019404853636941;0,0387436411340402;0,0371434461891291;0,357386277431973;0,51394378624355;0,0234416040040616;0,0855835114512497;0;0,0147286491571969;0,0109054331654183;0,033818355574406;0,0525450967822121;0,265033563621905;0,020003762058713;0,0485862119203394;0,0933530042229447;0,158074673893728;0,209161822858692
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site2;Other;104,342147827148;7638668,82445349;345572,987681752;CA;23,7183322906494;1175,36962890625;0;0;0,270385582831853;0;0;0;0;0;0,729614417168147;0,230283521109323;0,0064168096358266;0,230853039494862;0;0;0;0,0484868851589169;0,00740020163073277;0,476559542970339;0,440329764014617;0,00886050649658456;0,120214229872615;0;0,00711122195219448;0;0,0218837442117961;0,0374911120780227;0,36410942137417;0,435139890595648;0,0163946337345627;0,120665453986868;0;0,00834849659838454;0,0123787165255608;0,0353915040137718;0,0424899430437157;0,329191361501488;0,519528884975477;0,0257089741198114;0,086435520260705;0;0,0159553922495837;0,0097645268654551;0,03385407563416;0,0528989459198143;0,255853679974993;0,141543369693028;0,100185377307562;0,0945691577380671;0,150899106033191;0,20883629945781
0;0;0;0;10;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site3;Other;372,850982666016;7640670,79626316;347385,480557815;CA;22,2472114562988;1458,35815429688;0,0951789580945103;0;0,105209527448733;0;0;0;0,0380524773914151;0,164182906636097;0,597376130429245;0,262558765577963;0,0157698688674206;0,101881559724222;0;0,0198803640724324;0;0,0340371642535489;0,0999890339628782;0,465883243541535;0,322229090886579;0,0351557698107167;0,206262453139053;0;0,00895874291060979;0;0,0242858873710025;0,0949228778701363;0,308185178011902;0,402954104421158;0,0462934238483347;0,19959741874371;0;0,0143939902249061;0;0,0368248705753886;0,0830330419223913;0,216903150264112;0,558984373718978;0,0479113951033163;0,130196991159723;0;0,0191015336433717;2,74609617915333E-05;0,0392000095136167;0,0738285473359902;0,130749688563212;0,113867241922992;0,0801598336348291;0,0842443609417201;0,104815614349405;0,262270181342675
0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site3;LanCam;372,850982666016;7640670,79626316;347385,480557815;CA;22,2472114562988;1458,35815429688;0,0951789580945103;0;0,105209527448733;0;0;0;0,0380524773914151;0,164182906636097;0,597376130429245;0,262558765577963;0,0157698688674206;0,101881559724222;0;0,0198803640724324;0;0,0340371642535489;0,0999890339628782;0,465883243541535;0,322229090886579;0,0351557698107167;0,206262453139053;0;0,00895874291060979;0;0,0242858873710025;0,0949228778701363;0,308185178011902;0,402954104421158;0,0462934238483347;0,19959741874371;0;0,0143939902249061;0;0,0368248705753886;0,0830330419223913;0,216903150264112;0,558984373718978;0,0479113951033163;0,130196991159723;0;0,0191015336433717;2,74609617915333E-05;0,0392000095136167;0,0738285473359902;0,130749688563212;0,113867241922992;0,0801598336348291;0,0842443609417201;0,104815614349405;0,262270181342675
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site3;Other;372,850982666016;7640670,79626316;347385,480557815;CA;22,2472114562988;1458,35815429688;0,0951789580945103;0;0,105209527448733;0;0;0;0,0380524773914151;0,164182906636097;0,597376130429245;0,262558765577963;0,0157698688674206;0,101881559724222;0;0,0198803640724324;0;0,0340371642535489;0,0999890339628782;0,465883243541535;0,322229090886579;0,0351557698107167;0,206262453139053;0;0,00895874291060979;0;0,0242858873710025;0,0949228778701363;0,308185178011902;0,402954104421158;0,0462934238483347;0,19959741874371;0;0,0143939902249061;0;0,0368248705753886;0,0830330419223913;0,216903150264112;0,558984373718978;0,0479113951033163;0,130196991159723;0;0,0191015336433717;2,74609617915333E-05;0,0392000095136167;0,0738285473359902;0,130749688563212;0,113867241922992;0,0801598336348291;0,0842443609417201;0,104815614349405;0,262270181342675
0;0;3;0;1;0;0;0;1;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site4;Other;537,29541015625;7642241,63963903;348192,636385193;CA;21,0032997131348;1628,61950683594;0;0,00557182883341824;0,802534386143658;0;0;0;0,0610672440142639;0,040722109016811;0,0901044319918492;0,14727626459144;0,0360948001414928;0,388899893880439;0;0,00181818181818182;0;0,0314573753095154;0,116289352670676;0,278164131588256;0,0688128890075896;0,0507401203790011;0,376403699452228;0;0,0328070805350728;0;0,0376692884974911;0,0949474778954369;0,338619444233181;0,267178490960323;0,0438042343119618;0,260172086841732;0;0,0213365371029198;0;0,0474705718134057;0,0867551650128153;0,273282913956842;0,435061942392345;0,0769046694774323;0,195064583137135;0;0,0399319567650585;0;0,0459386574065256;0,0861254467063947;0,120972744115109;0,0569374532255205;0,0621491661603405;0,0717225047015341;0,11851934563866;0,34326895156404
10;0;0;0;0;4;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site4;LanCam;537,29541015625;7642241,63963903;348192,636385193;CA;21,0032997131348;1628,61950683594;0;0,00557182883341824;0,802534386143658;0;0;0;0,0610672440142639;0,040722109016811;0,0901044319918492;0,14727626459144;0,0360948001414928;0,388899893880439;0;0,00181818181818182;0;0,0314573753095154;0,116289352670676;0,278164131588256;0,0688128890075896;0,0507401203790011;0,376403699452228;0;0,0328070805350728;0;0,0376692884974911;0,0949474778954369;0,338619444233181;0,267178490960323;0,0438042343119618;0,260172086841732;0;0,0213365371029198;0;0,0474705718134057;0,0867551650128153;0,273282913956842;0,435061942392345;0,0769046694774323;0,195064583137135;0;0,0399319567650585;0;0,0459386574065256;0,0861254467063947;0,120972744115109;0,0569374532255205;0,0621491661603405;0,0717225047015341;0,11851934563866;0,34326895156404
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/01/17;sum;trans1;site4;Ipo;537,29541015625;7642241,63963903;348192,636385193;CA;21,0032997131348;1628,61950683594;0;0,00557182883341824;0,802534386143658;0;0;0;0,0610672440142639;0,040722109016811;0,0901044319918492;0,14727626459144;0,0360948001414928;0,388899893880439;0;0,00181818181818182;0;0,0314573753095154;0,116289352670676;0,278164131588256;0,0688128890075896;0,0507401203790011;0,376403699452228;0;0,0328070805350728;0;0,0376692884974911;0,0949474778954369;0,338619444233181;0,267178490960323;0,0438042343119618;0,260172086841732;0;0,0213365371029198;0;0,0474705718134057;0,0867551650128153;0,273282913956842;0,435061942392345;0,0769046694774323;0,195064583137135;0;0,0399319567650585;0;0,0459386574065256;0,0861254467063947;0,120972744115109;0,0569374532255205;0,0621491661603405;0,0717225047015341;0,11851934563866;0,34326895156404
